category_code,subcategory_code,topic_full,unique_authors,avg_authors_per_paper,total_papers
37,3703,3703 Geochemistry,223,5.7555555555555555,62
37,3702,3702 Climate Change Science,187,16.71559633027523,41
37,3704,3704 Geoinformatics,27,4.117647058823529,10
38,N/A,38 Economics,223,3.5142857142857142,106
38,3801,3801 Applied Economics,137,3.75,64
38,3803,3803 Economic Theory,118,3.6666666666666665,56
38,3802,3802 Econometrics,31,2.2195121951219514,22
39,N/A,39 Education,99,4.587786259541985,42
39,3904,3904 Specialist Studies In Education,53,4.672131147540983,19
39,3901,3901 Curriculum and Pedagogy,37,4.428571428571429,14
39,3903,3903 Education Systems,4,4.333333333333333,6
40,N/A,40 Engineering,27792,6.190497076023392,9656
40,4016,4016 Materials Engineering,7816,6.39788636979496,2384
40,4018,4018 Nanotechnology,5018,6.913242706583168,1283
40,4009,"4009 Electronics, Sensors and Digital Hardware",2830,7.363636363636363,684
40,4003,4003 Biomedical Engineering,2009,8.465106198526225,376
40,4006,4006 Communications Engineering,1881,4.903466432645898,632
40,4008,4008 Electrical Engineering,1787,5.894491129785248,524
40,4007,"4007 Control Engineering, Mechatronics and Robotics",1429,3.8495835374816267,663
40,4001,4001 Aerospace Engineering,1272,4.566221142162819,488
40,4017,4017 Mechanical Engineering,1160,4.780155642023346,602
40,4012,4012 Fluid Mechanics and Thermal Engineering,1098,4.121816930488644,451
40,4002,4002 Automotive Engineering,891,4.613697164258962,582
40,4004,4004 Chemical Engineering,731,5.933628318584071,202
40,4014,4014 Manufacturing Engineering,728,5.331830477908025,301
40,4005,4005 Civil Engineering,642,4.18075117370892,260
40,4015,4015 Maritime Engineering,496,4.255451713395638,193
40,4010,4010 Engineering Practice and Education,422,3.9595588235294117,173
40,4013,4013 Geomatic Engineering,260,6.26056338028169,63
40,4019,4019 Resources Engineering and Extractive Metallurgy,197,4.209677419354839,82
40,4011,4011 Environmental Engineering,130,5.853658536585366,35
41,N/A,41 Environmental Sciences,2124,9.058690744920993,516
41,4105,4105 Pollution and Contamination,706,6.739759036144578,168
41,4104,4104 Environmental Management,479,13.354131534569984,90
41,4102,4102 Ecological Applications,339,6.7441253263707575,79
41,4101,4101 Climate Change Impacts and Adaptation,156,8.701657458563536,28
41,4106,4106 Soil Sciences,130,4.709677419354839,49
41,4103,4103 Environmental Biotechnology,116,5.4,31
42,N/A,42 Health Sciences,3937,448.0109282058376,745
42,4203,4203 Health Services and Systems,1629,62.28854080791426,236
42,4206,4206 Public Health,648,11.75,113
42,4202,4202 Epidemiology,464,1322.6728528269314,66
42,4201,4201 Allied Health and Rehabilitation Science,428,8.794871794871796,89
42,4207,4207 Sports Science and Exercise,323,6.858267716535433,77
42,4205,4205 Nursing,147,7.041666666666667,37
42,4208,"4208 Traditional, Complementary and Integrative Medicine",100,6.442622950819672,21
42,4204,4204 Midwifery,18,4.052631578947368,6
43,N/A,"43 History, Heritage and Archaeology",82,10.581395348837209,22
43,4301,4301 Archaeology,71,11.643478260869566,13
43,4303,4303 Historical Studies,26,8.448275862068966,7
43,4302,"4302 Heritage, Archive and Museum Studies",3,7.0,4
44,N/A,44 Human Society,335,13.056737588652481,91
44,4403,4403 Demography,69,15.444444444444445,10
44,4402,4402 Criminology,67,7.084507042253521,15
44,4408,4408 Political Science,37,3.6538461538461537,23
44,4401,4401 Anthropology,36,9.64864864864865,8
44,4406,4406 Human Geography,36,10.209302325581396,7
44,4407,4407 Policy and Administration,32,37.208955223880594,7
44,4409,4409 Social Work,22,6.36,5
44,4410,4410 Sociology,18,3.8181818181818183,8
44,4404,4404 Development Studies,5,4.2,3
44,4405,4405 Gender Studies,3,4.0,1
46,N/A,46 Information and Computing Sciences,6480,6.31345085728085,2201
46,4611,4611 Machine Learning,1289,6.21239509360878,386
46,4605,4605 Data Management and Data Science,1194,5.184523809523809,335
46,4602,4602 Artificial Intelligence,1130,9.580505415162454,378
46,4603,4603 Computer Vision and Multimedia Computation,752,4.138248847926267,253
46,4606,4606 Distributed Computing and Systems Software,705,4.676470588235294,223
46,4604,4604 Cybersecurity and Privacy,462,5.06015037593985,131
46,4608,4608 Human-Centred Computing,421,7.930417495029821,111
46,4613,4613 Theory Of Computation,402,4.541484716157205,137
46,4601,4601 Applied Computing,333,5.8816120906801,103
46,4612,4612 Software Engineering,290,4.095384615384615,99
46,4607,"4607 Graphics, Augmented Reality and Games",209,4.4789915966386555,65
46,4609,4609 Information Systems,130,5.313725490196078,38
46,4610,4610 Library and Information Studies,51,5.275862068965517,16
47,N/A,"47 Language, Communication and Culture",185,4.431111111111111,62
47,4704,4704 Linguistics,153,4.639344262295082,48
47,4701,4701 Communication and Media Studies,24,3.1666666666666665,8
47,4703,4703 Language Studies,17,3.0,8
47,4702,4702 Cultural Studies,1,1.6666666666666667,2
48,N/A,48 Law and Legal Studies,65,16.91304347826087,15
48,4803,4803 International and Comparative Law,31,32.0,1
48,4802,4802 Environmental and Resources Law,7,3.5714285714285716,2
48,4804,4804 Law In Context,2,1.6666666666666667,2
48,4805,4805 Legal Systems,2,1.6666666666666667,2
48,4806,4806 Private Law and Civil Obligations,2,1.6666666666666667,2
49,N/A,49 Mathematical Sciences,3145,27.14748276582411,1757
49,4901,4901 Applied Mathematics,1907,2.870604781997187,1186
49,4904,4904 Pure Mathematics,687,2.673716012084592,452
49,4905,4905 Statistics,516,121.09484536082475,272
49,4903,4903 Numerical and Computational Mathematics,460,3.01027397260274,233
49,4902,4902 Mathematical Physics,267,3.418300653594771,111
50,N/A,50 Philosophy and Religious Studies,87,8.282608695652174,24
50,5002,5002 History and Philosophy Of Specific Fields,27,14.0,7
50,5003,5003 Philosophy,26,5.7407407407407405,9
50,5001,5001 Applied Ethics,20,6.3,4
50,5004,5004 Religious Studies,7,4.0,2
51,N/A,51 Physical Sciences,17157,9.584532030981723,4960
51,5104,5104 Condensed Matter Physics,5459,8.101094983447924,1472
51,5108,5108 Quantum Physics,3506,9.263483265828182,799
51,5102,"5102 Atomic, Molecular and Optical Physics",2485,8.183862026485986,704
51,5101,5101 Astronomical Sciences,1322,24.814317673378078,225
51,5106,5106 Nuclear and Plasma Physics,1309,8.431827111984283,415
51,5103,5103 Classical Physics,804,6.374613003095975,219
51,5109,5109 Space Sciences,659,19.455263157894738,108
51,5110,5110 Synchrotrons and Accelerators,653,9.477223427331888,147
51,5105,5105 Medical and Biological Physics,309,8.032745591939547,69
51,5107,5107 Particle and High Energy Physics,202,54.806451612903224,36
52,N/A,52 Psychology,3696,17.437021025741796,791
52,5202,5202 Biological Psychology,2364,16.46954314720812,460
52,5203,5203 Clinical and Health Psychology,762,25.458404074702887,153
52,5204,5204 Cognitive and Computational Psychology,447,6.668571428571428,137
52,5201,5201 Applied and Developmental Psychology,338,6.874371859296482,92
52,5205,5205 Social and Personality Psychology,138,5.136363636363637,47
