ID,Category,Author with search,Author only,author_id,Name,Multimodal latent perceptual loss for high-resolution image synthesis,Trade-off between representation diversity and realism in generative models,How artificial intelligence creates original images from text descriptions,Military deception strategy,Military deception principles,Military deception techniques,Deceptive autonomous agents,Machine learning of deceptive strategies,Detecting deceptive machine behavior,Deep-sea bioluminescence and hydrothermal sensors,Structural integrity of high-tensile steel in bridges,Spectroscopic biosignatures in M-dwarf atmospheres
11,MilDec & AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22camouflage%22%20OR%20%22concealment%22%20OR%20%22decoy*%22)%20AND%20(%22machine%20learning%22%20OR%20%22computer%20vision%22%20OR%20%22deep%20learning%22)%20AND%20(%22defense%22%20OR%20%22military%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.01220414055.82,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.01220414055.82,ur.01220414055.82,Pavel Borisovich Ginzburg,1,1,1,1.8,1.6,2.2,2.4,2,2.4,1.8,1.2,2
12,MilDec & AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22camouflage%22%20OR%20%22concealment%22%20OR%20%22decoy*%22)%20AND%20(%22machine%20learning%22%20OR%20%22computer%20vision%22%20OR%20%22deep%20learning%22)%20AND%20(%22defense%22%20OR%20%22military%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.012401467325.50,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.012401467325.50,ur.012401467325.50,Micah Goldblum,3.6,4.4,4.2,1,1,1.2,2,2.4,2.4,1,1,1
13,MilDec & AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22camouflage%22%20OR%20%22concealment%22%20OR%20%22decoy*%22)%20AND%20(%22machine%20learning%22%20OR%20%22computer%20vision%22%20OR%20%22deep%20learning%22)%20AND%20(%22defense%22%20OR%20%22military%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.012065075654.47,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.012065075654.47,ur.012065075654.47,Bijie Bai,3.8,3,2,1,1,1.2,1,1.6,1.6,1.6,1,1.8
14,MilDec & AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22spoofing%22%20OR%20%22signature%20management%22%20OR%20%22electromagnetic%20deception%22)%20AND%20(%22machine%20learning%22%20OR%20%22deep%20learning%22%20OR%20%22neural%20network*%22)%20AND%20(%22defense%22%20OR%20%22military%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.015137513356.27,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.015137513356.27,ur.015137513356.27,Milin Zhang,1.6,2,2,1,1.2,1.6,2,2.4,2.2,1.4,1.2,1.2
15,MilDec & AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22spoofing%22%20OR%20%22signature%20management%22%20OR%20%22electromagnetic%20deception%22)%20AND%20(%22machine%20learning%22%20OR%20%22deep%20learning%22%20OR%20%22neural%20network*%22)%20AND%20(%22defense%22%20OR%20%22military%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.016610110700.09,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.016610110700.09,ur.016610110700.09,Sohraab Soltani,1.6,1.8,1.6,1.4,1.4,1.6,1.8,2,1.8,1.4,1,1
16,MilDec,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22camouflage%22%20OR%20%22concealment%22%20OR%20%22decoy*%22)%20AND%20(%22machine%20learning%22%20OR%20%22computer%20vision%22%20OR%20%22deep%20learning%22)%20AND%20(%22defense%22%20OR%20%22military%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.016161161765.09,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.016161161765.09,ur.016161161765.09,Rakesh M Verma,1.4,2,2,1.4,2.2,2.4,3.2,3.4,3.8,1,1,1
17,MilDec,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=Search%202%20%E2%80%94%20Denial%20and%20deception%20operations%3A%0A%0A(%22denial%20and%20deception%22%20OR%20%22D%26D%22%20OR%20MILDEC%20OR%20%22Tactical%20Deception%22)%20AND%20(%22operational%22%20OR%20%22strategic%22%20OR%20%22tactical%22)%20AND%20(%22military%22%20OR%20%22defense%22%20OR%20%22national%20security%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.07511027635.48,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.07511027635.48,ur.07511027635.48,Charles Alexandre Kamhoua,1.6,2,1.6,2.8,2.4,3,4.2,3.8,4,1,1,1
18,MilDec,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=Search%202%20%E2%80%94%20Denial%20and%20deception%20operations%3A%0A%0A(%22denial%20and%20deception%22%20OR%20%22D%26D%22%20OR%20MILDEC%20OR%20%22Tactical%20Deception%22)%20AND%20(%22operational%22%20OR%20%22strategic%22%20OR%20%22tactical%22)%20AND%20(%22military%22%20OR%20%22defense%22%20OR%20%22national%20security%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.011555712101.53,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.011555712101.53,ur.011555712101.53,Zelin Wan,2,2,2,3.2,3.2,3.2,3.8,3.6,3.8,1,1,1
19,MilDec,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22counter-deception%22%20OR%20%22deception%20detection%22%20OR%20%22deception%20recognition%22)%20AND%20(%22military%22%20OR%20%22intelligence%22%20OR%20%22national%20security%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.014361216414.52,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.014361216414.52,ur.014361216414.52,Linan Huang,1.4,1.6,1.8,2.4,2.4,2.8,4.4,4.2,3.6,1.2,1,1
20,MilDec,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=Search%202%20%E2%80%94%20Denial%20and%20deception%20operations%3A%0A%0A(%22denial%20and%20deception%22%20OR%20%22D%26D%22%20OR%20MILDEC%20OR%20%22Tactical%20Deception%22)%20AND%20(%22operational%22%20OR%20%22strategic%22%20OR%20%22tactical%22)%20AND%20(%22military%22%20OR%20%22defense%22%20OR%20%22national%20security%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.014753037012.98,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.014753037012.98,ur.014753037012.98,Erik A Gartzke,1,1,1,3.4,3.2,2.8,2,1.2,1.2,1,1,1
21,Unrelated (Civil Eng),https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=civil%20engineering&search_type=kws&search_field=full_search&order=times_cited&and_facet_researcher=ur.013323061215.08,https://dtic.dimensions.ai/discover/publication?search_mode=content&order=times_cited&and_facet_researcher=ur.013323061215.08,ur.013323061215.08,Mohammad Mozaffari,1.4,1.4,1.2,1.4,1.6,1.6,1.6,1.6,1.6,1.4,1,1
22,Unrelated (Civil Eng),https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=civil%20engineering&search_type=kws&search_field=full_search&order=times_cited&and_facet_researcher=ur.01341474713.23,https://dtic.dimensions.ai/discover/publication?search_mode=content&order=times_cited&and_facet_researcher=ur.01341474713.23,ur.01341474713.23,Yifei Luo,1.2,1.2,1.2,1,1,1,1.8,2,1.8,1.2,1,1
23,Unrelated (Radar Array),https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=radar%20arrays&search_type=kws&search_field=full_search&order=times_cited&and_facet_researcher=ur.01017555417.25,https://dtic.dimensions.ai/discover/publication?search_mode=content&order=times_cited&and_facet_researcher=ur.01017555417.25,ur.01017555417.25,Onur Avci,1,1.2,1.2,1,1,1.2,1,1,1,1.4,2.8,1.2
24,Unrelated (Radar Array),https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=radar%20arrays&search_type=kws&search_field=full_search&order=times_cited&and_facet_researcher=ur.0725745110.07,https://dtic.dimensions.ai/discover/publication?search_mode=content&order=times_cited&and_facet_researcher=ur.0725745110.07,ur.0725745110.07,Amr M Shaltout,1.2,1,1,1,1,1.2,1,1.2,1.4,1.8,1.4,2
25,Unrelated (Radar Array),https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=radar%20arrays&search_type=kws&search_field=full_search&order=times_cited&and_facet_researcher=ur.011054365124.22,https://dtic.dimensions.ai/discover/publication?search_mode=content&order=times_cited&and_facet_researcher=ur.011054365124.22,ur.011054365124.22,Michele Polese,1.4,2.6,1.4,1,1,1,2.4,2.4,1,1,1,1
26,Unrelated (EMSO),https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=electromagnetic%20spectrum%20operations&search_type=kws&search_field=full_search&order=times_cited&and_facet_researcher=ur.0715732366.93,https://dtic.dimensions.ai/discover/publication?search_mode=content&order=times_cited&and_facet_researcher=ur.0715732366.93,ur.0715732366.93,Tomoki Ozawa,1,1,1,1,1,1,1,1,1,1.6,1.4,1.8
27,Unrelated (EMSO),https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=electromagnetic%20spectrum%20operations&search_type=kws&search_field=full_search&order=times_cited&and_facet_researcher=ur.01047264435.23,https://dtic.dimensions.ai/discover/publication?search_mode=content&order=times_cited&and_facet_researcher=ur.01047264435.23,ur.01047264435.23,Zheng Meng,1,1,1,1,1,1,1.8,1.8,1.6,1.8,2,1.6
28,Unrelated (EMSO),https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=electromagnetic%20spectrum%20operations&search_type=kws&search_field=full_search&order=times_cited&and_facet_researcher=ur.015527265674.84,https://dtic.dimensions.ai/discover/publication?search_mode=content&order=times_cited&and_facet_researcher=ur.015527265674.84,ur.015527265674.84,Steven M Girvin,1.2,1,1,1,1,1,1,1,1,1.6,1.6,1.6
29,Unrelated (Bio Informatics),https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=bio%20informatics&search_type=kws&search_field=full_search&order=times_cited&and_facet_researcher=ur.01042261017.84,https://dtic.dimensions.ai/discover/publication?search_mode=content&order=times_cited&and_facet_researcher=ur.01042261017.84,ur.01042261017.84,Evgeny Epifanovsky,1.2,1,1,1,1,1,1.2,1.4,1.4,1.4,1.2,1.6
30,Unrelated (ML),https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=electromagnetic%20spectrum%20operations&search_type=kws&search_field=full_search&order=times_cited&and_facet_researcher=ur.01202401101.33,https://dtic.dimensions.ai/discover/publication?search_mode=content&order=times_cited&and_facet_researcher=ur.01202401101.33,ur.01202401101.33,Giuseppe Carleo,1.4,1.4,1.6,1,1,1,1,1.8,1.2,1.4,1.2,1
31,Bonus unrel (Metorology),https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22weather%20forecast*%22%20OR%20%22atmospheric%20model*%22)%20AND%20(%22military%20operation*%22%20OR%20%22defense%22)%20NOT%20(%22machine%20learning%22%20OR%20%22neural%20network*%22)&search_type=kws&search_field=full_search&order=times_cited&and_facet_researcher=ur.011703135307.28,https://dtic.dimensions.ai/discover/publication?search_mode=content&order=times_cited&and_facet_researcher=ur.011703135307.28,ur.011703135307.28,Cascade P Tuholske,1,1,1,1,1,1,1.2,1.2,1.2,2,1.6,1.6
32,Bonus unrel (Metorology),https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22weather%20forecast*%22%20OR%20%22atmospheric%20model*%22)%20AND%20(%22military%20operation*%22%20OR%20%22defense%22)%20NOT%20(%22machine%20learning%22%20OR%20%22neural%20network*%22)&search_type=kws&search_field=full_search&order=times_cited&and_facet_researcher=ur.011727670435.40,https://dtic.dimensions.ai/discover/publication?search_mode=content&order=times_cited&and_facet_researcher=ur.011727670435.40,ur.011727670435.40,John T Emmert,1,1,1,1,1,1,1.4,1.4,1.6,1.6,1.4,2.2
